0.426,0.225,0.66,0.015,0.003,0.027,0.01,0.013,412.5,664.75,24.5,50.5,411.5787,656.5304,24.533436,48.37982,409.53992,662.6813,24.412867,48.42813
0.448,0.218,0.599,0.011,0.005,0.035,0.009,0.009,412.5,639.25,24.75,49.75,410.60416,657.2378,24.43427,48.220978,406.636,646.75903,24.362041,47.73714
0.442,0.215,0.646,0.009,0.004,0.054,0.01,0.016,414.5,661,24.5,46.5,410.6192,655.7851,24.418844,48.13755,416.45575,666.39685,24.730986,47.474285
0.455,0.218,0.594,0.012,0.002,0.041,0.014,0.021,410,661,24.75,49.5,409.62805,651.3744,24.502783,47.98032,406.2347,639.2944,24.22057,46.157017
0.45,0.214,0.641,0.013,0.006,0.065,0.01,0.02,417.6667,672.5,24.5,47.8333,410.59692,659.2003,24.457342,48.29605,410.47684,672.67035,24.400558,47.356167
0.445,0.235,0.609,0.016,0.006,0.026,0.011,0.014,400.5,647,19.5,50.5,410.67874,660.3972,24.509253,48.57778,410.83243,652.4041,24.559568,48.410667
0.453,0.213,0.586,0.01,0.004,0.039,0.012,0.023,385,675,24,45,409.75647,653.93646,24.435812,48.03083,405.63202,651.5271,24.634472,48.11439
0.459,0.219,0.648,0.015,0.009,0.058,0.01,0.011,406.5,669,26.25,47.5,410.08566,663.9167,24.432207,48.48281,410.42218,665.6299,24.205368,48.941467
0.444,0.209,0.649,0.0148,0.002,0.049,0.011,0.018,402.75,662.5,24.5,49.25,410.9395,653.4947,24.550224,48.05588,404.4692,662.87146,24.95035,48.10893
0.455,0.22,0.6,0.016,0.003,0.055,0.012,0.019,413,641,23.75,50.5,410.52826,654.7936,24.563065,48.202316,409.6461,655.10187,24.468481,46.249954
0.45,0.224,0.596,0.015,0.005,0.038,0.01,0.018,412,652,25.25,45.5,410.87228,658.42395,24.516981,48.39473,411.87543,648.6799,24.385454,47.52915
0.471,0.231,0.612,0.01,0.006,0.033,0.012,0.012,420,657.5,24.5,50,409.4175,659.09314,24.422302,48.31186,405.43414,635.45435,24.282688,49.116665
0.45,0.214,0.59,0.008,0.006,0.027,0.013,0.009,413,648,24.5,47.5,408.69632,654.92456,24.330908,47.99027,403.786,653.8804,23.482935,47.837803
0.455,0.215,0.64,0.015,0.006,0.066,0.016,0.016,416.6667,663,24.3333,49,408.61182,656.0545,24.448431,48.10882,408.00076,655.46533,24.437021,48.494328
0.448,0.214,0.593,0.017,0.004,0.028,0.01,0.014,411,638.5,24.5,49.75,410.88092,656.272,24.551853,48.226986,407.32983,645.70013,24.545692,49.587067
0.45,0.224,0.656,0.012,0.004,0.026,0.011,0.014,427.5,676,24.25,46.5,410.50574,657.2781,24.481752,48.27405,407.0894,656.3192,24.432621,47.407803
0.446,0.205,0.584,0.014,0.004,0.043,0.017,0.036,412.3333,649.1667,25.1667,49.8333,408.58676,651.0829,24.469233,47.892967,406.3987,633.04706,25.300062,45.749348
0.452,0.217,0.651,0.015,0.014,0.047,0.02,0.087,422,681.5,23.25,45.5,407.49234,666.8269,24.361675,48.699802,397.4164,667.38635,24.215427,48.036316
0.446,0.235,0.655,0.018,0.003,0.038,0.011,0.01,419,681,25.25,50.5,411.38806,658.01056,24.60538,48.50252,416.71213,671.3169,24.415304,48.134502
0.457,0.222,0.612,0.015,0.007,0.057,0.011,0.015,413.5,648.5,23.75,49.5,410.1301,660.46106,24.46981,48.403343,408.2556,647.32623,24.333807,49.15819
0.447,0.22,0.609,0.012,0.005,0.043,0.01,0.013,407.75,645.5,24.5,48.75,410.53928,657.36993,24.451906,48.264587,413.94772,655.0346,24.28009,47.519085
0.075,0,0.199,0.0147,0.016,0.042,0.008,0.01,424.25,672.5,24.375,47.5,408.74716,626.12463,23.551626,45.960537,416.5577,665.7552,24.957703,46.44995
0.448,0.217,0.654,0.013,0.006,0.059,0.01,0.015,416.5,661.5,24.75,45,410.60495,659.55884,24.452932,48.326103,417.35843,672.51404,23.745314,47.713467
0.441,0.206,0.592,0.0078,0.003,0.032,0.011,0.016,406,641,24.25,50.5,409.9392,651.5859,24.395515,47.864166,405.40393,647.75604,24.809008,48.39533
0.438,0.223,0.664,0.01,0.008,0.057,0.012,0.016,403.75,665.5,24.75,47,409.68213,660.7496,24.34468,48.39372,421.09387,664.73645,24.222742,48.913765
0.449,0.225,0.596,0.019,0.005,0.051,0.01,0.013,408.5,640,23.75,49.5,411.1682,659.01117,24.576202,48.470295,407.40228,642.3851,23.692049,48.561935
0.45,0.211,0.586,0.017,0.006,0.045,0.013,0.024,380,665,24,48,409.7019,656.8392,24.500519,48.206112,401.85968,641.7217,24.969757,46.901363
0.444,0.223,0.658,0.02,0.006,0.038,0.012,0.02,419,699.5,24.25,49,410.71912,660.6055,24.56857,48.51648,402.19516,666.2574,25.259619,50.063377
0.452,0.222,0.649,0.013,0.007,0.052,0.015,0.022,415.5,650.5,25.25,50.5,408.9227,658.63806,24.416828,48.286865,405.3077,658.4334,23.91623,49.17657
0.449,0.215,0.644,0.012,0.007,0.047,0.021,0.038,407.75,649,24.25,51.5,407.00696,654.5457,24.36903,48.0301,414.02353,664.36145,24.20103,47.447147
0.449,0.218,0.612,0.019,0.003,0.077,0.01,0.013,412,658.5,24.75,51.5,411.4634,656.0912,24.610014,48.29791,416.31174,663.5221,23.963034,47.82018
